"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","101","Get and set configuration options","Cypress APIs","2026-09-14","passed","2026-09-14","","Cypress.config()","",""
"","706","cy.exec() - execute a system command","Misc","2026-09-14","passed","2026-09-14","","","",""
"","97","cy.setCookie() - set a browser cookie","Cookies","2026-09-14","passed","2026-09-14","","","",""
"","236","can filter for completed tasks","example to-do app","2026-09-14","passed","2026-09-14","","with a checked task","",""
"","65","Get current version of Cypress being run","Cypress APIs","2026-09-14","passed","2026-09-14","","Cypress.version","",""
"","499","cy.intercept() - route responses to matching requests","Network Requests","2026-09-14","passed","2026-09-14","","","",""
"","2118","cy.scrollTo() - scroll the window or element to a position","Actions","2026-09-14","passed","2026-09-14","","","",""
"","528","cy.screenshot() - take a screenshot","Misc","2026-09-14","passed","2026-09-14","","Cypress.Screenshot","",""
"","188","cy.spy() - wrap a method in a spy","Spies, Stubs, and Clock","2026-09-14","passed","2026-09-14","","","",""
"","77",".spread() - spread an array as individual args to callback function","Connectors","2026-09-14","passed","2026-09-14","","","",""
"","104","cy.url() - get the current URL","Location","2026-09-14","passed","2026-09-14","","","",""
"","111",".debug() - enable or disable debugging","Cypress APIs","2026-09-14","passed","2026-09-14","","Cypress.Cookies","",""
"","358","cy.wait() - wait for a specific route","Waiting","2026-09-14","passed","2026-09-14","","","",""
"","299","Cypress.Blob - blob utilities and base64 string conversion","Utilities","2026-09-14","passed","2026-09-14","","","",""
"","210","cy.hash() - get the current URL hash","Location","2026-09-14","passed","2026-09-14","","","",""
"","90","cy.root() - query the root DOM element","Querying","2026-09-14","passed","2026-09-14","","","",""
"","82","yields the returned value to the next command","Connectors","2026-09-14","passed","2026-09-14","",".then()","",""
"","226","cy.get() - query DOM elements","Querying","2026-09-14","passed","2026-09-14","","","",""
"","67","Get underlying OS name","Cypress APIs","2026-09-14","passed","2026-09-14","","Cypress.platform","",""
"","247","cy.focused() - get the DOM element that has focus","Misc","2026-09-14","passed","2026-09-14","","","",""
"","318",".as() - alias a DOM element for later use","Aliasing","2026-09-14","passed","2026-09-14","","","",""
"","122",".and() - chain multiple assertions together","Assertions","2026-09-14","passed","2026-09-14","","Implicit Assertions","",""
"","330","cy.request() - save response in the shared test context","Network Requests","2026-09-14","passed","2026-09-14","","","",""
"","101","cy.title() - get the title","Window","2026-09-14","passed","2026-09-14","","","",""
"","2749","cy.viewport() - set the viewport size and dimension","Viewport","2026-09-14","passed","2026-09-14","","","",""
"","81",".parents() - get parent DOM elements from DOM elements","Traversal","2026-09-14","passed","2026-09-14","","","",""
"","84",".parentsUntil() - get parent DOM elements from DOM elements until el","Traversal","2026-09-14","passed","2026-09-14","","","",""
"","72","cy.wrap() - wrap an object","Misc","2026-09-14","passed","2026-09-14","","","",""
"","83",".invoke() - invoke a function on the current subject","Connectors","2026-09-14","passed","2026-09-14","","","",""
"","97","assert - assert shape of an object","Assertions","2026-09-14","passed","2026-09-14","","Explicit Assertions","",""
"","114",".trigger() - trigger an event on a DOM element","Actions","2026-09-14","passed","2026-09-14","","","",""
"","311","cy.request() - verify response using BDD syntax","Network Requests","2026-09-14","passed","2026-09-14","","","",""
"","358","cy.request() - pass result to the second request","Network Requests","2026-09-14","passed","2026-09-14","","","",""
"","785","cy.go() - go back or forward in the browser's history","Navigation","2026-09-14","passed","2026-09-14","","","",""
"","234","cy.window() - get the global window object","Window","2026-09-14","passed","2026-09-14","","","",""
"","85",".filter() - get DOM elements that match the selector","Traversal","2026-09-14","passed","2026-09-14","","","",""
"","148","cy.clearAllSessionStorage() - clear all data in sessionStorage for all origins","Local Storage / Session Storage","2026-09-14","passed","2026-09-14","","","",""
"","224","cy.tick() - move time in the browser","Spies, Stubs, and Clock","2026-09-14","passed","2026-09-14","","","",""
"","101","can throw any error","Assertions","2026-09-14","passed","2026-09-14","","Explicit Assertions","",""
"","83",".nextAll() - get all next sibling DOM elements","Traversal","2026-09-14","passed","2026-09-14","","","",""
"","208",".children() - get child DOM elements","Traversal","2026-09-14","passed","2026-09-14","","","",""
"","1597","retries the should callback until assertions pass","Assertions","2026-09-14","passed","2026-09-14","","Explicit Assertions","",""
"","157","cy.clearAllLocalStorage() - clear all data in localStorage for all origins","Local Storage / Session Storage","2026-09-14","passed","2026-09-14","","","",""
"","1796",".click() - click on a DOM element","Actions","2026-09-14","passed","2026-09-14","","","",""
"","2527","cy.spy() retries until assertions pass","Spies, Stubs, and Clock","2026-09-14","passed","2026-09-14","","","",""
"","508","displays two todo items by default","example to-do app","2026-09-14","passed","2026-09-14","","","",""
"","236","can delete all completed tasks","example to-do app","2026-09-14","passed","2026-09-14","","with a checked task","",""
"","103","expect - make an assertion about a specified subject","Assertions","2026-09-14","passed","2026-09-14","","Explicit Assertions","",""
"","406",".blur() - blur off a DOM element","Actions","2026-09-14","passed","2026-09-14","","","",""
"","171","cy.getAllLocalStorage() - get all data in localStorage for all origins","Local Storage / Session Storage","2026-09-14","passed","2026-09-14","","","",""
"","77",".siblings() - get all sibling DOM elements","Traversal","2026-09-14","passed","2026-09-14","","","",""
"","108",".scrollIntoView() - scroll an element into view","Actions","2026-09-14","passed","2026-09-14","","","",""
"","103","cy.contains() - query DOM elements with matching content","Querying","2026-09-14","passed","2026-09-14","","","",""
"","81",".prevAll() - get all previous sibling DOM elements","Traversal","2026-09-14","passed","2026-09-14","","","",""
"","861",".select() - select an option in a <select> element","Actions","2026-09-14","passed","2026-09-14","","","",""
"","87",".closest() - get closest ancestor DOM element","Traversal","2026-09-14","passed","2026-09-14","","","",""
"","150","cy.getAllSessionStorage() - get all data in sessionStorage for all origins","Local Storage / Session Storage","2026-09-14","passed","2026-09-14","","","",""
"","547","cy.clearLocalStorage() - clear all data in localStorage for the current origin","Local Storage / Session Storage","2026-09-14","passed","2026-09-14","","","",""
"","287","cy.getCookie() - get a browser cookie","Cookies","2026-09-14","passed","2026-09-14","","","",""
